Roll_No,Name,Attendance_Percentage,Daily_Study_Hours,Previous_Marks,Assignment_Marks,Internal_Marks,Final_Marks
2026ST1349,Jyoti Pillai,93.1,7.9,80.6,74.5,22.4,78.7
2026ST1350,Amit Banerjee,78.1,6.7,92.8,54.7,21.3,73.5
2026ST1351,Aarti Chatterjee,78.2,5.4,74.9,93.4,27.2,72.5
2026ST1352,Vikram Ansari,86.6,4.2,43.8,76.7,15.9,57.6
2026ST1353,Ansh Choudhary,70.7,8.5,60.3,78.9,22.2,72.0
2026ST1354,Ashi Dar,90.5,1.4,77.6,91.8,12.3,68.4
2026ST1355,Aryan Sen,78.3,9.9,65.7,99.8,28.4,88.2
2026ST1356,Pihu Desai,95.0,8.9,45.6,68.0,13.5,69.1
2026ST1357,Neha Desai,62.1,6.6,83.6,87.8,19.7,69.6
2026ST1358,Reyansh Sharma,68.5,1.7,75.6,76.0,20.0,56.3
2026ST1359,Ashi Mishra,99.5,4.8,47.9,53.5,18.9,63.7
2026ST1360,Reyansh Mehra,72.5,8.9,48.2,88.7,25.6,69.2
2026ST1361,Sneha Shah,62.7,6.1,76.6,58.2,18.3,62.7
2026ST1362,Preeti Shah,96.8,6.5,66.5,60.9,28.1,71.9
2026ST1363,Krishna Khan,89.2,4.2,65.8,89.6,16.5,69.1
2026ST1364,Diya Cheema,84.0,7.5,57.1,97.1,12.5,73.2
2026ST1365,Seema Nair,68.2,6.5,51.3,69.6,23.6,67.1
2026ST1366,Meena Reddy,79.8,2.0,70.0,79.7,21.5,68.4
2026ST1367,Aisha Pillai,65.3,8.7,74.1,68.3,24.3,77.7
2026ST1368,Swati Gupta,60.7,1.6,55.7,52.0,13.1,49.3
2026ST1369,Vijay Murthy,85.1,5.5,64.9,85.1,13.5,67.4
2026ST1370,Harish Shah,71.1,3.8,70.7,60.2,26.5,65.7
2026ST1371,Rohit Khan,85.4,8.5,80.9,53.3,24.6,80.9
2026ST1372,Babita Reddy,62.3,1.8,66.1,72.7,23.0,56.4
2026ST1373,Preeti Bhat,89.6,2.1,82.5,85.1,14.9,71.6
2026ST1374,Rajesh Gill,91.3,7.5,50.0,56.3,26.1,67.4
2026ST1375,Seema Mishra,90.9,1.3,88.4,63.6,13.1,65.5
2026ST1376,Ganesh Ansari,63.1,5.1,61.6,75.0,22.2,62.3
2026ST1377,Pari Dubey,64.1,6.2,83.4,61.4,21.2,65.5
2026ST1378,Geeta Sharma,69.8,5.2,63.0,57.5,28.8,69.9
2026ST1379,Suresh Tiwari,89.6,4.8,59.3,70.8,25.0,66.1
2026ST1380,Arjun Sandhu,74.9,5.5,94.1,59.0,26.5,81.1
2026ST1381,Rohit Gupta,95.1,8.8,86.4,65.5,13.6,78.7
2026ST1382,Aisha Kulkarni,71.7,8.1,84.4,62.1,18.6,79.2
2026ST1383,Swati Dubey,67.8,9.1,85.6,62.3,12.1,71.9
2026ST1384,Aanya Dhillon,73.9,8.6,92.6,97.5,12.0,82.0
2026ST1385,Babita Shukla,89.1,1.9,71.8,61.9,20.9,58.5
2026ST1386,Shaurya Tiwari,71.2,1.4,53.9,92.3,19.4,60.7
2026ST1387,Vikram Shukla,63.4,1.9,48.0,91.0,13.3,51.9
2026ST1388,Sanjay Bhat,98.6,3.1,55.7,65.8,26.4,67.7
2026ST1389,Preeti Pillai,72.7,3.4,44.5,60.1,26.0,57.6
2026ST1390,Shaurya Mehra,66.6,5.2,64.4,76.8,29.4,66.3
2026ST1391,Pihu Dutta,70.6,2.1,49.5,84.3,26.9,61.2
2026ST1392,Aditya Joshi,93.4,4.0,45.5,62.4,18.4,59.0
2026ST1393,Sneha Nair,70.4,9.9,41.9,70.2,20.1,69.5
2026ST1394,Diya Mehra,78.5,8.2,48.4,50.6,26.9,72.5
2026ST1395,Ishaan Kulkarni,92.9,4.4,77.8,82.2,22.5,71.9
2026ST1396,Sunita Gupta,60.9,1.6,94.1,72.2,14.3,65.6
2026ST1397,Kavita Menon,64.9,9.5,43.0,96.2,19.8,71.5
2026ST1398,Sunil Verma,75.3,4.8,61.2,95.4,16.9,65.2
2026ST1399,Shaurya Kumar,84.6,6.6,78.8,74.9,27.9,78.7
2026ST1400,Sai Naidu,75.3,4.8,78.6,89.9,16.5,74.9
2026ST1401,Ramesh Verma,99.6,8.0,61.5,77.2,20.7,80.4
2026ST1402,Vijay Pillai,75.5,2.6,59.1,61.0,28.1,64.0
2026ST1403,Vihaan Yadav,81.2,7.9,100.0,98.7,13.8,85.3
2026ST1404,Ananya Dhillon,92.7,9.3,43.4,99.8,15.9,76.5
2026ST1405,Anita Banerjee,74.2,8.6,90.7,58.8,22.7,82.5
2026ST1406,Pooja Das,96.6,1.3,82.0,97.4,22.1,72.8
2026ST1407,Mohammad Choudhary,81.7,2.6,42.3,52.8,22.8,48.7
2026ST1408,Anil Sharma,73.3,6.5,88.4,67.0,15.2,74.9
2026ST1409,Geeta Pillai,62.4,2.3,82.3,57.1,14.0,57.6
2026ST1410,Aisha Gupta,74.9,9.5,63.7,55.1,17.4,66.4
2026ST1411,Aryan Pandey,97.9,8.1,97.6,82.5,15.1,89.7
2026ST1412,Pooja Ali,91.5,3.0,75.3,58.8,17.5,66.3
2026ST1413,Ishaan Mehta,89.2,9.5,96.9,69.6,29.9,96.0
2026ST1414,Aditya Mehta,84.1,9.3,98.1,61.0,22.2,89.5
2026ST1415,Shaurya Menon,89.8,3.1,98.9,58.4,27.9,72.4
2026ST1416,Jyoti Bhat,85.6,9.0,66.8,63.3,16.5,68.6
2026ST1417,Pari Mehra,88.8,1.4,66.3,71.0,15.0,57.7
2026ST1418,Seema Banerjee,74.0,4.4,89.7,89.4,22.4,77.7
2026ST1419,Aanya Desai,78.1,8.2,42.0,51.0,16.7,56.7
2026ST1420,Ashi Desai,95.5,2.4,44.5,97.1,29.6,65.0
2026ST1421,Harish Yadav,88.2,4.9,79.2,80.4,19.8,68.7
2026ST1422,Ashi Joshi,99.0,4.7,73.2,96.3,21.7,78.1
2026ST1423,Pihu Reddy,63.8,4.5,73.0,74.5,13.0,56.4
2026ST1424,Sai Murthy,93.0,6.6,68.8,54.8,15.7,69.9
2026ST1425,Sai Yadav,93.8,3.8,63.8,74.5,23.9,64.5
2026ST1426,Ramesh Banerjee,67.4,9.0,62.2,72.3,16.7,69.0
2026ST1427,Aanya Naidu,82.6,2.4,81.8,54.8,24.0,69.2
2026ST1428,Amit Agnihotri,83.6,6.0,90.4,90.9,19.5,79.6
2026ST1429,Geeta Yadav,82.9,3.1,57.9,69.7,27.4,59.7
2026ST1430,Ganesh Gill,92.0,7.1,77.2,56.0,25.6,73.7
2026ST1431,Aryan Joshi,92.3,2.1,65.4,99.4,19.8,72.1
2026ST1432,Priya Shah,93.4,3.3,94.6,95.7,13.2,73.5
2026ST1433,Rohit Cheema,73.0,3.5,67.5,93.7,26.2,70.2
2026ST1434,Rajesh Bose,64.5,2.3,74.0,79.1,29.4,62.3
2026ST1435,Reyansh Sandhu,91.2,8.1,92.0,94.0,27.8,87.7
2026ST1436,Neha Choudhary,82.9,5.3,50.3,70.1,23.1,66.1
2026ST1437,Rohit Kumar,75.8,8.9,81.4,52.5,20.6,73.2
2026ST1438,Aisha Verma,73.5,8.1,58.7,92.1,27.4,77.9
2026ST1439,Geeta Patil,65.4,9.8,66.6,91.3,16.8,73.9
2026ST1440,Neha Joshi,67.5,2.9,89.4,87.0,25.7,75.7
2026ST1441,Sunita Singh,80.6,2.4,58.7,75.3,14.4,60.5
2026ST1442,Seema Sandhu,61.2,2.7,90.0,91.8,16.5,66.2
2026ST1443,Rani Chatterjee,88.2,3.5,89.4,75.3,23.4,70.7
2026ST1444,Vivaan Reddy,74.9,6.3,50.7,93.5,22.6,66.6
2026ST1445,Aryan Rao,90.0,7.2,57.1,69.3,14.9,68.1
2026ST1446,Ansh Patil,85.9,7.1,56.1,70.5,12.4,67.8
2026ST1447,Swati Dar,60.4,9.2,78.8,80.1,12.2,69.8
2026ST1448,Anita Nair,88.5,7.4,56.5,94.8,27.3,76.9
2026ST1449,Ansh Dutta,72.1,5.7,77.4,79.2,12.1,72.0
2026ST1450,Kavita Chatterjee,82.5,6.3,57.0,84.2,20.7,67.5
2026ST1451,Ananya Ansari,73.0,3.5,79.4,97.6,23.7,68.8
2026ST1452,Rajesh Agnihotri,69.6,1.5,91.4,90.5,19.3,65.8
2026ST1453,Ishaan Pandey,61.0,5.5,57.7,95.3,19.3,66.8
2026ST1454,Mahesh Tiwari,99.8,8.3,60.6,85.7,24.4,81.2
2026ST1455,Anil Bhat,74.3,3.7,50.2,82.9,22.0,58.7
2026ST1456,Anil Patel,89.6,7.5,73.5,95.6,29.0,87.8
2026ST1457,Neha Joshi,68.9,3.0,92.3,71.0,28.0,70.8
2026ST1458,Mahesh Murthy,78.6,2.1,43.2,81.7,22.4,57.5
2026ST1459,Anil Kulkarni,80.0,8.8,62.9,64.9,13.0,72.2
2026ST1460,Ishaan Kulkarni,73.7,9.9,93.6,99.3,14.6,88.4
2026ST1461,Ayush Dubey,63.2,4.0,99.2,65.7,13.0,66.3
2026ST1462,Ansh Agnihotri,90.9,6.2,49.5,89.3,26.0,68.1
2026ST1463,Sanjay Ansari,77.2,4.9,68.6,50.2,21.6,66.5
2026ST1464,Aarav Pillai,90.3,5.8,41.1,50.2,25.2,59.4
2026ST1465,Seema Das,72.5,1.9,70.2,65.3,13.2,51.2
2026ST1466,Aadhya Dutta,89.1,6.4,60.3,94.4,29.9,76.2
2026ST1467,Rekha Choudhary,74.4,2.7,96.9,95.9,19.3,70.7
2026ST1468,Kiran Patel,68.4,1.2,70.3,56.2,24.8,60.9
2026ST1469,Rahul Ansari,70.2,5.8,42.9,99.7,23.9,67.0
2026ST1470,Vivaan Singh,87.6,4.8,62.8,77.4,20.5,64.4
2026ST1471,Pooja Dar,85.2,3.7,79.7,83.1,16.9,70.3
2026ST1472,Ishaan Bose,93.2,1.9,83.1,55.9,14.1,58.9
2026ST1473,Mohammad Ahmed,68.0,3.4,71.4,60.1,24.7,61.1
2026ST1474,Aditya Cheema,79.9,2.9,96.0,66.5,12.0,68.3
2026ST1475,Rani Mishra,93.4,7.0,48.9,54.5,21.2,68.4
2026ST1476,Reyansh Rao,85.8,5.1,98.6,63.2,12.9,76.0
2026ST1477,Geeta Kumar,94.1,4.2,80.6,71.3,14.1,72.7
2026ST1478,Seema Kumar,60.4,2.2,78.8,66.4,28.1,68.7
2026ST1479,Ananya Pandey,63.7,8.3,51.0,70.0,29.3,67.5
2026ST1480,Rahul Lone,94.0,8.2,78.9,89.8,14.0,81.3
2026ST1481,Vihaan Desai,64.1,9.2,69.0,78.4,19.9,74.7
2026ST1482,Swati Das,84.5,8.8,92.8,86.4,28.1,89.2
2026ST1483,Sunil Mishra,95.5,5.0,43.8,82.7,12.2,64.4
2026ST1484,Rajesh Dubey,89.7,7.5,53.4,97.8,27.7,77.7
2026ST1485,Pooja Lone,84.7,4.9,83.6,74.1,23.9,76.3
2026ST1486,Shaurya Cheema,95.7,6.5,40.7,96.7,21.1,69.1
2026ST1487,Sunil Desai,63.0,5.4,54.5,98.5,12.9,58.2
2026ST1488,Neha Banerjee,76.1,3.1,67.5,90.1,20.1,68.8
2026ST1489,Deepak Pillai,64.7,5.5,79.2,55.1,19.4,66.2
2026ST1490,Aarav Joshi,91.7,9.7,78.3,94.5,22.1,88.0
2026ST1491,Vikram Menon,74.5,1.5,53.4,72.7,22.1,57.1
2026ST1492,Anil Tiwari,86.3,7.4,46.8,88.0,16.0,65.7
2026ST1493,Kavita Ansari,98.6,3.6,71.3,85.1,12.8,64.1
2026ST1494,Ishaan Tiwari,89.7,4.7,55.3,59.8,14.2,63.5
2026ST1495,Ansh Dutta,93.0,2.7,60.3,87.9,12.8,63.0
2026ST1496,Sneha Khan,64.9,9.0,67.4,79.5,21.1,78.3
2026ST1497,Aarav Gill,89.4,6.0,66.0,79.3,28.6,78.7
2026ST1498,Rani Mehta,87.7,2.6,88.9,55.2,23.8,70.7
2026ST1499,Khushi Jat,95.3,4.8,76.5,84.6,16.5,71.5
2026ST1500,Ashi Murthy,78.1,2.2,64.8,85.0,25.5,62.9
